Card Number,Card Type,Expiration Date,CVV,Status
6011151719924883,Diners Club / Carte Blanche,02/34,252,1
38571491956484,Diners Club / Carte Blanche,06/25,918,1
4624844706593653,Discover,02/32,209,1
4996284399636,VISA 19 digit,06/32,872,1
676230395599,JCB 16 digit,12/25,246,1
36769308974003,VISA 13 digit,03/33,934,1
3545436414873515,JCB 15 digit,04/31,398,1
36143322745346,VISA 16 digit,08/33,617,1
6011590690130335,Diners Club / Carte Blanche,03/31,491,1
3564064386974891,Maestro,08/25,782,1
4042259364977381785,American Express,12/25,917,1
3567798170825366,Mastercard,10/24,945,1
4352554833518,VISA 16 digit,01/34,545,1
213193129832479,Mastercard,01/25,0588,1
4860225970834068930,JCB 16 digit,12/32,147,1
2277701775618825,VISA 16 digit,07/34,264,1
4446992740581613884,American Express,02/27,682,1
4070202439740,Discover,03/31,367,1
6011809618903080,VISA 19 digit,06/30,960,1
4556188563685,JCB 16 digit,06/29,615,1
6011637255336037,JCB 16 digit,06/33,109,1
5227354349461340,American Express,02/30,912,1
3576239333887000,VISA 16 digit,04/26,256,1
3592191121527407,Mastercard,08/30,662,1
502094900284,American Express,03/27,526,1
4778701035239614782,VISA 13 digit,02/33,670,1
3552664290311157,Mastercard,11/32,222,1
3537806068240049,JCB 15 digit,06/25,166,1
3595401344541722,JCB 16 digit,11/24,755,1
213198850828729,Maestro,01/34,527,1
4030708647272400504,VISA 19 digit,01/29,085,1
502045859597,VISA 16 digit,01/30,876,1
6574580493316222,Diners Club / Carte Blanche,09/29,428,1
375706560927104,Discover,06/32,325,1
4802977289869589,JCB 16 digit,03/29,249,1
2246865504076619,VISA 16 digit,01/31,217,1
30349361385417,JCB 15 digit,02/32,715,1
4411769695994025,VISA 13 digit,06/27,248,1
3524865636584044,Mastercard,04/32,430,1
3506061343117219,JCB 16 digit,04/30,116,1
4612669354021473,VISA 13 digit,08/29,968,1
676317822176,JCB 16 digit,10/32,115,1
2709777061922715,VISA 13 digit,02/30,653,1
36493352946714,American Express,03/29,446,1
213129495628539,VISA 16 digit,04/25,2257,1
2712237595681464,Mastercard,06/34,9048,1
675952560000,VISA 16 digit,11/27,288,1
6580214453307920,VISA 16 digit,09/31,589,1
4005586683530336684,Mastercard,09/25,546,1
30224528654262,Diners Club / Carte Blanche,07/28,628,1
3545042214906594,Discover,08/29,577,1
6011908863316822,VISA 13 digit,01/31,250,1
6011662461942170,Discover,10/33,693,1
6011339972020123,JCB 15 digit,01/27,257,1
346639810760338,JCB 15 digit,01/33,679,1
676240069234,Maestro,07/29,896,1
348850132891580,Discover,08/26,581,1
180003295533950,American Express,09/29,373,1
6011090512060125,JCB 16 digit,06/34,838,1
3567321882787582,Maestro,01/31,507,1
675961744819,VISA 16 digit,07/34,479,1
060440338808,JCB 16 digit,09/28,258,1
4370877856800938,Discover,02/29,447,1
4156803941851,VISA 13 digit,12/28,081,1
30189031743573,JCB 16 digit,11/25,340,1
4560791828404655,JCB 15 digit,09/28,160,1
180083030706897,Diners Club / Carte Blanche,11/27,506,1
578065554367,JCB 15 digit,12/32,2430,1
3506437862190946,VISA 16 digit,01/27,577,1
4538856068580217856,American Express,10/32,639,1
6556314129728143,Mastercard,08/30,557,1
4970895684135723681,JCB 16 digit,10/31,815,1
5509727826476981,VISA 19 digit,06/26,909,1
4592900175846176,American Express,02/33,878,1
2309945919115873,Mastercard,11/26,109,1
348657915551285,American Express,12/30,753,1
6011087542107439,VISA 16 digit,10/29,498,1
3566172756316441,Mastercard,12/30,961,1
4152572789936,VISA 19 digit,11/31,308,1
213193326101769,VISA 16 digit,04/29,750,1
30199897419408,VISA 19 digit,05/25,224,1
345931882337033,VISA 19 digit,06/30,028,1
4250646394922388,VISA 16 digit,06/27,372,1
676103873326,Discover,09/32,5092,1
374246321837699,VISA 16 digit,01/27,062,1
4202999506573899,VISA 16 digit,01/28,652,1
4106182472606,JCB 16 digit,09/29,247,1
213111357715448,VISA 13 digit,10/28,911,1
4170719749377371,JCB 16 digit,05/31,703,1
4801980520073,JCB 16 digit,11/31,641,1
5114419577818663,JCB 15 digit,10/32,704,1
377907798971371,VISA 13 digit,03/30,244,1
6534844068218885,Maestro,07/28,101,1
372406231374918,Mastercard,06/31,164,1
4955848215507699,VISA 19 digit,08/29,860,1
30448521423009,VISA 19 digit,03/29,037,1
180056181844071,JCB 15 digit,04/28,776,1
6011954879823096,JCB 15 digit,07/26,535,1
5226333610412399,Discover,02/33,284,1
3517285488014793,VISA 16 digit,03/30,432,1
2720569710529800,JCB 16 digit,12/33,276,1
30462027331152,VISA 16 digit,11/26,323,1
374571478043118,American Express,09/32,043,1
38340393630658,Maestro,05/29,981,1
4024601368141,Maestro,11/29,130,1
3539574317357737,VISA 16 digit,03/29,272,1
4911460376314858466,Maestro,08/24,310,1
4679150445317966226,VISA 16 digit,04/32,007,1
4575545044167527,VISA 16 digit,07/27,968,1
502042510060,JCB 16 digit,03/30,588,1
38612996450860,Diners Club / Carte Blanche,02/32,7214,1
4886274478663364680,VISA 13 digit,07/28,654,1
2436809818882924,VISA 19 digit,06/29,915,1
4151082034758083,JCB 16 digit,08/33,769,1
3590366202099318,VISA 16 digit,10/25,585,1
4487589046221,JCB 16 digit,09/25,884,1
6511996440043915,Discover,09/33,649,1
4729318730767694,Discover,01/34,054,1
2683440161300197,Discover,07/33,033,1
180027351745547,VISA 19 digit,05/34,205,1
4360318621509,Maestro,03/25,696,1
676306558435,JCB 15 digit,12/26,859,1
374533981226853,JCB 16 digit,11/26,954,1
340127437396773,JCB 16 digit,10/29,262,1
503814221456,Mastercard,02/32,856,1
4206512302927,Diners Club / Carte Blanche,11/28,862,1
6011831994732602,JCB 16 digit,08/30,385,1
3553684038395402,JCB 15 digit,11/24,085,1
2262268437668710,VISA 16 digit,11/33,473,1
6592029206559478,VISA 16 digit,07/28,6244,1
4560424789464761,Maestro,09/25,357,1
3532472725603346,JCB 15 digit,08/24,051,1
4640678622905447,JCB 15 digit,07/33,800,1
4968140395871533401,Maestro,12/33,908,1
213187292304159,American Express,10/25,499,1
3532225307423487,VISA 16 digit,04/34,769,1
4339431671007254845,Discover,07/34,351,1
4480110030426002899,American Express,06/25,234,1
3551551020930599,JCB 16 digit,04/33,423,1
6533363989943985,VISA 13 digit,06/28,355,1
4247702946962731,Maestro,07/28,574,1
5504982486297293,Diners Club / Carte Blanche,06/26,447,1
180034706816973,Mastercard,09/29,382,1
3592040805863226,JCB 16 digit,03/28,261,1
4540806153041321,Maestro,12/30,279,1
4728353298435,Diners Club / Carte Blanche,12/24,954,1
30172352960810,American Express,12/26,964,1
342997041756655,Mastercard,08/30,690,1
4339691955920576276,JCB 16 digit,06/26,613,1
3582633372440584,Diners Club / Carte Blanche,06/33,676,1
180052081954292,VISA 13 digit,11/27,552,1
4872342325675637686,VISA 16 digit,05/29,770,1
4325394238197203406,VISA 16 digit,02/25,641,1
4388062743404489,Maestro,05/34,074,1
180032969394076,JCB 16 digit,12/28,595,1
060414518765,VISA 19 digit,01/33,359,1
2547236106377068,VISA 13 digit,03/32,197,1
213185937872937,American Express,10/26,169,1
4663001207605781,JCB 16 digit,07/25,359,1
2280029087533119,VISA 19 digit,04/34,367,1
5549305159103043,Diners Club / Carte Blanche,07/28,495,1
4277181562402327,VISA 16 digit,08/25,481,1
503850715221,VISA 19 digit,02/31,342,1
6011291419347926,JCB 16 digit,11/33,252,1
4790980160124375,American Express,03/33,0627,1
3573645510807129,American Express,03/34,585,1
4128809001444,JCB 16 digit,02/32,451,1
3591518461580946,Maestro,07/30,198,1
503837942351,Maestro,05/33,583,1
4686444444518702085,American Express,11/27,971,1
589239311030,American Express,06/27,188,1
4441869886289294,VISA 19 digit,10/29,804,1
180081559757440,JCB 16 digit,09/25,178,1
349652921009849,Mastercard,12/29,080,1
4865374655113731591,JCB 15 digit,03/27,333,1
213180700826517,JCB 16 digit,10/29,081,1
4565829728894080160,American Express,01/32,662,1
6011223266284555,Mastercard,08/30,297,1
4614986192050092128,VISA 13 digit,09/28,9895,1
6551824454908123,American Express,12/31,583,1
4605438685536735,Diners Club / Carte Blanche,09/32,292,1
2596281696454349,American Express,10/24,173,1
4173700001077277624,JCB 16 digit,09/30,696,1
213165113130854,American Express,02/25,864,1
4706643117045,Discover,04/32,346,1
346376714572648,Mastercard,04/34,975,1
213182678231647,Discover,10/29,124,1
3520195803253536,VISA 13 digit,08/26,713,1
6504843448379421,Mastercard,07/31,199,1
4535289278922,VISA 16 digit,12/25,430,1
3573404079396359,VISA 19 digit,11/29,225,1
180027536871135,Mastercard,09/26,713,1
4063924521792134217,VISA 16 digit,10/33,677,1
4283723076297008,Mastercard,12/25,863,1
30371441372090,JCB 15 digit,01/31,812,1
30413773672661,VISA 13 digit,09/24,960,1
2231782398283457,VISA 13 digit,02/27,484,1
348438129833466,JCB 16 digit,11/31,267,1
213126901867552,VISA 16 digit,04/32,043,1
4963163433221077,JCB 15 digit,03/34,629,1
4772422496365851872,Maestro,10/29,954,1
3527282586181978,Diners Club / Carte Blanche,06/27,897,1
630407913171,VISA 13 digit,02/29,509,1
213138932263024,VISA 13 digit,02/33,930,1
3545004997341100,Discover,02/32,641,1
4636095767890,VISA 16 digit,05/28,506,1
3549222599223387,VISA 16 digit,05/31,047,1
180078345108243,VISA 16 digit,12/32,726,1
30137397358924,JCB 15 digit,09/32,717,1
2241885119017837,Maestro,06/30,200,1
6514976354753284,JCB 16 digit,05/30,249,1
4825206282531,Diners Club / Carte Blanche,04/34,834,1
3561267038446696,Mastercard,02/33,232,1
213177123286279,VISA 19 digit,10/32,698,1
676230098698,JCB 16 digit,02/29,728,1
6502846483019317,JCB 16 digit,02/29,545,1
4606119046878615,American Express,04/29,722,1
4465617679584962,Discover,07/25,189,1
213173126647138,Mastercard,09/24,301,1
377548132592752,Mastercard,04/29,0585,1
4581178647618647,JCB 16 digit,12/28,865,1
213116970836521,JCB 16 digit,06/29,634,1
3562533639738701,Maestro,10/27,066,1
676153515629,JCB 16 digit,01/25,432,1
3593132221155805,Maestro,05/26,341,1
4960618822925087423,Maestro,07/32,920,1
4988861928249435936,Mastercard,06/33,504,1
4628110325317,Diners Club / Carte Blanche,12/31,736,1
38178542956214,JCB 16 digit,11/27,248,1
4891365666401063,American Express,01/28,301,1
4247853049442061,JCB 16 digit,01/30,1197,1
372259959991920,JCB 16 digit,12/24,112,1
4748499314357735,VISA 16 digit,06/30,795,1
340858467244125,JCB 15 digit,08/30,747,1
4759541882432375933,JCB 16 digit,12/28,6670,1
180081508827245,Diners Club / Carte Blanche,12/28,149,1
4814595319319379,Discover,12/27,915,1
4487105387863156899,Mastercard,04/33,578,1
4621307066977021484,Maestro,11/24,857,1
3554147311414653,Diners Club / Carte Blanche,07/28,364,1
4988840321232248,JCB 16 digit,06/25,006,1
30099472553748,American Express,09/33,561,1
180071932561452,Diners Club / Carte Blanche,10/26,962,1
4186017067356483696,Maestro,05/25,886,1
3574843875523865,JCB 16 digit,04/31,8986,1
587790818286,American Express,10/31,319,1
373003227125302,JCB 15 digit,07/34,274,1
6594309345692648,VISA 16 digit,03/31,347,1
3514753437510016,VISA 13 digit,05/31,815,1
567645894716,Mastercard,03/32,573,1
6011987510064225,VISA 13 digit,05/25,503,1
180047497626369,VISA 13 digit,09/24,043,1
213166804758201,Mastercard,12/27,492,1
4431557457671,VISA 16 digit,06/25,850,1
572665582548,Maestro,05/34,579,1
4207112123762706,JCB 16 digit,04/33,711,1
4147332625477496259,American Express,08/33,899,1
6011302517770628,VISA 16 digit,03/34,677,1
4310705600975512280,Discover,04/28,279,1
213198885018460,JCB 16 digit,03/27,011,1
4793877619252186,VISA 16 digit,10/28,278,1
6011034996398841,JCB 15 digit,05/29,338,1
370734259912430,American Express,12/26,836,1
180027816933480,Maestro,08/24,096,1
348402327756309,JCB 15 digit,02/32,605,1
3524801508492644,Mastercard,03/26,856,1
345174447648913,American Express,01/32,060,1
343174553019570,JCB 16 digit,06/31,222,1
3590955802655832,JCB 15 digit,02/33,122,1
3573648064481812,Mastercard,12/29,680,1
6011171021065282,JCB 16 digit,12/26,995,1
3554745042898514,Diners Club / Carte Blanche,02/26,923,1
4150302582327375,JCB 16 digit,09/25,433,1
4377084131163538,VISA 19 digit,04/34,968,1
213119190844291,VISA 16 digit,01/34,988,1
180048815935540,VISA 16 digit,01/34,593,1
2480644380397554,Mastercard,01/28,344,1
30134911728203,Discover,09/31,704,1
2261412152532450,VISA 19 digit,02/30,379,1
4152161474467220,JCB 16 digit,09/28,685,1
180085267227497,VISA 16 digit,07/29,374,1
4433370515842,VISA 13 digit,03/26,648,1
3516000864456034,VISA 19 digit,08/29,275,1
4860754841899001,Maestro,03/25,298,1
30461282360286,VISA 16 digit,02/34,698,1
180064355372283,JCB 16 digit,12/32,401,1
3591699870922026,VISA 13 digit,02/30,777,1
343849302014986,JCB 16 digit,12/31,838,1
30582254711808,Maestro,09/30,181,1
2706076259299363,VISA 19 digit,10/25,591,1
2709896155351993,VISA 19 digit,01/27,347,1
213102507670518,JCB 16 digit,10/26,519,1
2260269122195300,Mastercard,06/33,694,1
4880316700609,Mastercard,11/28,452,1
4798478448040226,Discover,05/29,474,1
3593154722473834,VISA 16 digit,05/29,291,1
4607918045019017,Mastercard,10/28,199,1
3566731467210209,JCB 16 digit,01/28,134,1
378236086995200,VISA 13 digit,12/26,984,1
3555075309072952,VISA 19 digit,01/28,742,1
4768306066760,VISA 19 digit,09/27,826,1
180055009245891,VISA 19 digit,02/26,829,1
502094620247,JCB 15 digit,04/29,515,1
4032975980385468171,Discover,11/31,810,1
4695935836895432,JCB 15 digit,09/24,880,1
4388040929477040,JCB 16 digit,08/30,015,1
3549619203548895,Diners Club / Carte Blanche,09/27,738,1
676283852504,VISA 16 digit,03/34,180,1
3556397392158897,VISA 16 digit,05/30,026,1
373628192139993,JCB 15 digit,02/26,635,1
6572351562827149,Discover,04/33,9254,1
4174313219460259,VISA 13 digit,07/30,568,1
5115201234310543,Mastercard,12/27,0914,1
30304423953587,JCB 15 digit,02/34,914,1
3555393638476756,VISA 16 digit,08/30,862,1
180034346482079,VISA 16 digit,01/30,393,1
4161452200552370,VISA 16 digit,04/27,461,1
2706958901279440,Mastercard,09/24,349,1
2236639490976971,VISA 16 digit,02/34,257,1
3583768183552679,Diners Club / Carte Blanche,05/32,031,1
501893504768,JCB 16 digit,10/30,926,1
630453218491,Diners Club / Carte Blanche,08/33,019,1
4694155686583530,JCB 16 digit,08/26,280,1
4070491826768754,JCB 16 digit,06/31,9416,1
4851507414186037,Maestro,02/27,309,1
4198725902575386,VISA 19 digit,03/26,084,1
4383086616801831,Maestro,11/32,468,1
3577097551091120,American Express,09/25,274,1
4644671741791316316,VISA 19 digit,03/30,641,1
675938562195,Discover,02/33,605,1
6505140271569957,JCB 15 digit,12/33,712,1
213144114558785,Maestro,04/27,992,1
4089122718652,Mastercard,05/29,624,1
583830692252,Discover,12/27,396,1
180068342975744,JCB 16 digit,10/32,223,1
4414700658348070,JCB 16 digit,03/29,705,1
4186823758005394,JCB 16 digit,11/32,267,1
676303781774,JCB 15 digit,12/30,076,1
6011584771136584,VISA 13 digit,04/26,391,1
6524984558740188,JCB 15 digit,06/33,794,1
4794602294513358,JCB 16 digit,09/32,410,1
503847453506,Diners Club / Carte Blanche,04/31,399,1
4054705620402215,JCB 16 digit,04/31,949,1
4454887588782154,Diners Club / Carte Blanche,05/29,549,1
3568133511619618,Discover,08/29,430,1
4549768105712,Mastercard,06/31,721,1
4999988765933868963,Discover,07/30,994,1
180003712188347,VISA 19 digit,08/30,269,1
180069699056807,JCB 15 digit,03/34,772,1
30318175793413,Mastercard,07/25,4896,1
373431822167108,Maestro,02/32,146,1
4061253404213178,Mastercard,01/33,326,1
639033352605,JCB 15 digit,06/29,701,1
30469095243268,Diners Club / Carte Blanche,01/31,175,1
4591124406966032660,Diners Club / Carte Blanche,10/24,287,1
3588721919530100,JCB 16 digit,08/33,224,1
3502128606877559,VISA 19 digit,12/28,781,1
4642406419496398,JCB 16 digit,04/28,770,1
4844409746634414,VISA 16 digit,07/27,333,1
6595791914647674,JCB 15 digit,09/27,640,1
4407501801435007,VISA 16 digit,03/26,837,1
4057804984175529592,VISA 19 digit,12/27,000,1
4632202283090593082,JCB 16 digit,10/24,758,1
3561140672407060,Mastercard,05/25,872,1
213174092373741,Discover,06/31,772,1
3584617451144207,VISA 16 digit,08/28,581,1
2293875511630094,VISA 16 digit,10/33,3612,1
3500761928588009,Discover,12/26,170,1
213175173978712,VISA 19 digit,11/25,113,1
3552356580120758,Maestro,01/25,467,1
4151956554339836956,VISA 16 digit,01/27,791,1
4874714091144406840,VISA 16 digit,03/25,422,1
344033800244796,VISA 16 digit,10/33,360,1
4309716356710823,JCB 16 digit,12/25,345,1
4679583882937953,VISA 16 digit,01/26,422,1
502026527908,JCB 15 digit,10/32,3433,1
4617769563367919755,Maestro,04/29,522,1
2700855113410316,JCB 15 digit,06/27,709,1
6576745820191972,VISA 16 digit,01/26,773,1
3520101833900997,VISA 19 digit,08/31,538,1
4957797384975120090,VISA 13 digit,07/33,954,1
5223085628648629,VISA 16 digit,01/27,8053,1
375568837308561,VISA 16 digit,07/33,831,1
3577064507544164,American Express,10/30,017,1
4010382696800,Diners Club / Carte Blanche,09/31,132,1
3509018106215306,Discover,08/25,788,1
3533370197058784,JCB 15 digit,04/28,158,1
5266264806869251,American Express,10/24,498,1
180046750376134,JCB 16 digit,12/27,5699,1
2711910880981382,JCB 15 digit,11/27,752,1
3514636260661446,VISA 16 digit,08/27,422,1
